#	year	left	match	right	title	topic
784	2009	Production is also under way on a flotilla of	low-risk	television specials .	A Tiny Studio Enters the Third Dimension	Expansion; Motion picture industry; Television advertising; Animation; Business growth
785	2009	He settled for the ultimate	low-risk	, high-reward contract with the Mets , a minor league deal that will pay him $ 1.5 million if he makes the 40-man roster .	Players In '04 Deal Are Joined On Mets	Athletic drafts  trades; Careers; Professional baseball -- New York Mets
786	2009	Brad Penny , who signed for $ 5 million and also has a shoulder injury in his recent past , and Smoltz were Boston 's	low-risk	pitching additions .	For Smoltz, No Disguising the Pain	Athletes; Free agency; Professional baseball -- Boston Red Sox
787	2009	While lawmakers have proposed allowing prison officials to release	low-risk	offenders up to 90 days before the end of their sentences , citing a potential saving of $ 50 million , they are also considering expanding who is eligible for capital punishment to people who assist in killings but do not commit them and to people convicted of murdering fire marshals or auxiliary police officers who are on duty .	In Push to End Death Penalty, Some States Cite Cost-Cutting	Criminal justice; Legislation; Cost reduction; State budgets; Capital punishment
788	2009	Most notable , perhaps , is the volume of	low-risk	, high-reward players Yankees scouts have found under Eppler .	Yanks' Top Eye for Talent Has an Ear for Nuance	Athletic drafts  trades; Sports executives; Professional baseball -- New York Yankees
789	2009	The scientists conducted brain imaging of 131 individuals , including children and adults ages 6 to 54 , about half of whom were considered at high risk for depression because of their family history and half of whom were in a	low-risk	group .	Study Links Brain's Cortex to Depression	Brain research; Families  family life; Generations; Mental depression
790	2009	Maps of cortical thickness showed significant thinning of 28 percent on average across broad expanses of the right cerebral hemisphere in the high-risk group , compared with the	low-risk	group , the paper reported .	Study Links Brain's Cortex to Depression	Brain research; Families  family life; Generations; Mental depression
791	2009	The Anne E. Casey Foundation of Baltimore has been a leading advocate for ending the confinement of	low-risk	offenders and placing them in community programs .	Missouri System Treats Juvenile Offenders With Lighter Hand	Juvenile justice; Juvenile offenders; Drug testing; Rehabilitation
792	2009	The institute defines	low-risk	drinking , for men , as consuming no more than 4 drinks on any day and no more than 14 drinks a week .	Program Tries to Identify Problem Drinkers Before Problems Start	Series  special reports; Prevention programs; Wellness programs; Alcoholism
793	2009	That strategy is part of a	low-risk	core portfolio .	Time for A New Strategy	Investment policy; Mutual funds; Futures; Financial planners; Bear markets; Affluence; Asset allocation; Portfolio management
794	2009	By concentrating nearly half of the account 's assets in risky mortgage-backed securities , Access claims in the lawsuit , JPMorgan breached its investment management contract , which required Mr. Ufferfilge to pursue a	low-risk	, diversified strategy that allowed only up to 20 percent of the fund 's assets to be invested in mortgage-related securities .	Company Is Planning to Sue Chase Over Investment Losses	Investment advisors; Litigation; Mortgage backed securities
795	2009	The lawsuit would be among several recent disputes involving money managers at large financial institutions and institutional investors who were told their money was being invested in	low-risk	, liquid fixed-income securities with high credit ratings , but later learned their assets were concentrated in large debt pools made up of low-quality residential mortgages .	Company Is Planning to Sue Chase Over Investment Losses	Investment advisors; Litigation; Mortgage backed securities
796	2009	She was a	low-risk	patient .	In a Lifeless Birth, a Midwife's Opened Eyes	Pregnancy; Midwifery; Stillbirth
797	2009	The second threat is that plans will seek to attract	low-risk	people and avoid the sick .	Health Care: No Shortage of Ideas	None
798	2009	Pessimism in equities drove investors toward	low-risk	government bonds .	Worries About Earnings Push the Markets Lower	Dow Jones averages; Stock prices; Investments; Crude oil
799	2009	The new agency would be more powerful than any of the older ones in that it would be able to define and ban deceptive lending practices and require organizations to offer what it considers	low-risk	, plain products .	Office to Aid Consumers Draws Fire And Support	Financial services; Payday loans; Congressional committees; Banking; Public opinion; Consumer protection; Regulation of financial institutions
800	2009	`` It was sold as a	low-risk	, not no-risk , product . ''	An Advertising Campaign To Protest a Bank's Advice	Loyalty programs; Congressional hearings; Customer satisfaction; Private banking; Advertising campaigns
801	2009	Martinez is seen as a	low-risk	investment by the club , although skepticism remains in a city that always believes success is merely a sign that disaster lurks around the corner .	Martinez Joins Phillies And the Disabled List	Athletes; Professional baseball -- Philadelphia Phillies
802	2009	Investors said that while they thought they were buying	low-risk	fixed-income funds , the funds may have been stocked with more aggressive instruments .	State Street Says Reserves For Litigation May Be Short	None
803	2009	On the sociological side , as the criminal justice expert Joel Dvoskin of the University of Arizona explained to me , data overwhelmingly support the idea that locking up	low-risk	, nonviolent offenders makes them worse , not better .	Getting Smart on Crime	Prisons; Nonviolence; Crime prevention; Parole  probation; Criminal justice
804	2009	Under another provision ,	low-risk	offenders like the elderly and the infirm could be removed from costly medical care in prison and sent to alternative custody nursing homes , where they would be monitored with electronic ankle bracelets .	California Is Failing the Prison Test	Prisons; Parole officers; Criminal sentences; Prison overcrowding; Prison administration; Parole  probation; Editorials -- Prisons
805	2009		Low-risk	inmates who completed college degrees or vocational programs would earn credits shortening their sentences .	California Is Failing the Prison Test	Prisons; Parole officers; Criminal sentences; Prison overcrowding; Prison administration; Parole  probation; Editorials -- Prisons
806	2009	`` It would affect nonviolent ,	low-risk	, non-sex offenders . ''	California Officials Fear Abduction Case May Hurt Efforts on Parole	Sex offenders; Rape; Prisons
807	2009	The market 's strains also hit the credit markets , where rising prices of government securities showed that investors were looking for	low-risk	investments .	Investors Lose Appetite for Financial Shares	Stock prices; Dow Jones averages
808	2009	A medium-risk option would involve sending about 25,000 more troops , and a	low-risk	option would call for sending about 45,000 troops .	Obama Advisers Are Split On Size of Afghan Force	Press conferences; Casualties; Foreign policy; Military occupations
809	2009	The law also prohibits advertising that products carry a lower risk than traditional cigarettes without F.D.A. approval , a provision aimed at ensuring that such claims are scientifically valid not only for individual smokers but also for the population as a whole , including nonsmokers who might be enticed to smoke if they thought a cigarette was	low-risk	.	Big Tobacco Strikes Back	Tobacco industry; Smoking; Outdoor advertising; Young adults; Target markets; Editorials -- Tobacco industry
810	2009	The government instead should reverse all risk-avoidance insurer incentives by a government-supervised redistribution of insurance revenues from insurers that enroll a	low-risk	, younger population to those insurers that have enrolled a high-risk , older population , as is done in the Netherlands .	Reviews of Obama's Speech on Health	None
811	2009	The major labels long viewed soundtracks as	low-risk	, high-reward vehicles for promoting mega-singles .	Record Labels Develop A Taste For Vampires	Motion pictures; Musical recordings; Marketing; Vampires; Music industryIdentifier / keyword:
812	2009	`` On the contrary , it looked like an extremely	low-risk	asset , '' he says .	Did Bankers' Pay Add to This Mess?	Banking industry; Regulation of financial institutions; Chief executive officers; Risk management; Executive compensation
813	2009	`` It was	low-risk	experiment , '' said Todd Langston , a company spokesman .	What Do All These Phone Apps Do? Mostly Marketing	Mobile advertising; Software; Marketing; Freeware; Smartphones
814	2009	As reinventions go , financially , Mr. Kratz 's decision to enroll at the school , which is known for its focus on figurative art , was decidedly	low-risk	: He was already secure from the sale of his business .	A Midlife Journey, a Hidden Past, and the Art of Personal Reinvention	Artists studios; Entrepreneurs; Career changes
815	2009	In each example , the stocks rose quickly and predictably after the announcement of a deal , enabling conspirators to make large and	low-risk	profits in a matter of days .	14 Are Charged With Insider Trading as Galleon Case Grows	Hedge funds; Investment advisors; Investment policy; Organized crime; Layoffs; Indictments; Criminal investigations; Insider trading
816	2009	With fewer	low-risk	students being referred to the courts , probation officers were able to focus more closely on high-risk young people , driving down felony numbers as well .	The Trouble With 'Zero Tolerance	Juvenile courts; Juvenile justice; Young adults; Racial profiling; Behavior; Criminal law; Editorials -- Juvenile justice
817	2009	Most of the doctors , however , said they would inform younger women that the recommendations said they did not need mammograms if they were	low-risk	.	Many Doctors to Stay the Course on Breast Exams for Now	Breast cancer; Medical screening; Womens health
818	2009	That would make Wang a free agent , and it could make him a popular target for teams seeking a	low-risk	, high-reward starter .	Yanks Unlikely to Offer Wang a New Contract	Professional baseball; Free agency; Contracts
819	2009	Because of its structure , Deutsche Bank and BNP viewed Ocala as a fairly	low-risk	investment .	Get Ready, Get Set, Point Fingers	Mortgages; Disputes; Litigation
820	2009	With a $ 23 million contract that expires next summer , he would be a	low-risk	acquisition .	A Shot at McGrady Intrigues the Knicks, But There Are Ifs	Athletes; Free agency; Sports team rosters; Professional basketball -- New York Knicks
821	2010	Gov. David Paterson 's juvenile justice task force rightly urged him to phase out the practice of placing	low-risk	young offenders in failing institutional facilities and replace them with community-based programs that cost less and reduce recidivism rates .	Listen to the Task Force	Juvenile justice; State budgets; Juvenile offenders; Correctional institutions; Task forces; Alternative sentencing; Editorials -- Juvenile justice
822	2010	Mr. Griffin converted his nearly toppled hedge fund , the Citadel Investment Group , into an investment bank , and Mr. Asness , who lost an unspecified amount , turned to investing in relatively	low-risk	mutual funds .	In Practice, Stock Formulas Weren't Perfect	Mathematics; International finance; Mathematical models; Securities markets; Speculation; Nonfiction; Books --
823	2010	The firm is pitching the sale worldwide as a	low-risk	investment because the state is planning to lease the space back , giving the new owners a steady stream of income .	California: State Office Buildings Go On the Market	None
824	2010	Though there is no consensus on what the rate should be , government health agencies and the World Health Organization have suggested 15 percent as a goal in	low-risk	women .	Lessons at Indian Hospital for Births After C-Sections	Childbirth  labor; Hospitals; Cesarean sectionCompany / organization:
825	2010	Maureen Corry , executive director of Childbirth Connection , said : `` Implicit in the document was the conclusion by the panel that VBAC is a reasonable option for	low-risk	women .	Panel Urges New Look At Caesarean Guidelines	Births; Conferences; Guidelines; Cesarean sectionCompany / organization:
826	2010	At least part of the fall-off resulted from changes like California 's decision to reduce the number of	low-risk	people on parole returning to prison because of technical violations , and Texas ' decision to step up its residential and community-based treatment programs .	Report Finds States Holding Fewer Prisoners	Prisoners; Statistics; Prisons
827	2010	But First Interstate 's	low-risk	, low-cost financing model , combined with its conservative approach to lending , means it probably has plenty of room to keep regulators comfortable .	Scavenger Hunts For the Healthy	Going public; Bank acquisitions  mergers; Coffeehouses; Bank failures; Initial public offerings; Stock prices; Dividends
828	2010	But that kind of	low-risk	, low-reward system would , in one stroke , radically alter our perception of economic prosperity and , indeed , likely create a very different type of storm .	The Issue Of Liquidity Bubbles Up	Banking industry; Capital requirements; Capital ratios; Regulatory reform; Regulation of financial institutions
829	2010	SandRidge 's chief executive , Tom Ward , said the merger would add	low-risk	drilling opportunities , while extending the company 's move since late 2008 to increase oil production and reserves .	An Explorer Of Oil and Gas To Buy a Rival	None
830	2010	Gov. David Paterson 's juvenile justice task force was on the mark when it advised him to stop sending	low-risk	young offenders to faraway lockups and place more of them in lower-cost community-based programs .	A Better Chance	Juvenile justice; Juvenile offenders; After school programs; Child welfare; Legislation; Editorials -- Juvenile justice
831	2010	They have been shown to get	low-risk	young offenders back on track without institutionalizing them .	A Better Chance	Juvenile justice; Juvenile offenders; After school programs; Child welfare; Legislation; Editorials -- Juvenile justice
832	2010	It is a	low-risk	bet that Bloomberg hopes will help make its brand more well known and put influential coverage on the all-important terminal .	An Uneasy Marriage of the Cultish and the Rumpled	Newspapers; Securities industry; Magazines; Journalists; Corporate cultureCompany / organization:
833	2010	It found substantially lower rates of medical intervention compared with	low-risk	hospital births -LRB- high-risk pregnancies rarely , if ever , culminate with a home birth -RRB- and a similar rate of infant mortality .	Shutdown Of St. Vincent's Puts Midwives In Jeopardy	Midwifery; Hospital systems; Shutdowns
834	2010	Last year , the European Central Bank bought 50 billion euros in covered bonds , which are	low-risk	bundles of mortgages guaranteed by underwriting banks , in a successful effort to unfreeze trading in that market .	European Bank's Assurances Fail to Placate Investors	Central banks; Government bonds; International finance; Investments; Euro; Stock exchanges; Economic crisis
835	2010	`` Right now , it 's a pretty	low-risk	, high-reward endeavor to be a pirate in the waters off Somalia . ''	Somali Man Pleads Guilty in 2009 Hijacking of Ship	Criminal pleas; Criminal sentences; Evacuations  rescues; Court hearings  proceedings; Ship hijacking
836	2010	In general , he and the bank have been praised for their actions in the first part of the financial crisis to keep banks lending , providing unlimited short-term loans at 1 percent interest to strapped banks and buying covered bonds --	low-risk	paper issued by banks and tied to mortgages .	The Man Behind the Euro	Central banks; Euro; Sovereign debt; Economic crisis
837	2010	One way to tell is by looking at the so-called TED spread , the difference between the rates that banks charge one another for short-term loans and	low-risk	Treasury debt .	Two Sides of Europe's Crisis	Economic forecasts; Investment policy; Mortgage rates; Recessions; Economic crisis
838	2010	The public infrastructure projects in which Depfa specialized were considered	low-risk	, and typically generated low interest payments .	Debtors' Prism: Who Has Europe's Loans?	Banking industry; Bond issues; Banks; Loan losses; International finance; Recessions; Disclosure
839	2010	The argument for closing down the worst facilities and treating	low-risk	children in their home communities is irrefutable .	Real Justice for Juveniles	Juvenile justice; Cost control; Young adults; Prisoner treatment; Child welfare; Legislation; Editorials -- Juvenile justice
840	2010	The bill 's supporters said that most midwives , who handle	low-risk	births , have relationships with doctors , whether in writing or not , in case complications develop .	Obstetricians' Group Fights a Bill With Fewer Restrictions on Midwives	Legislation; Lobbying; Midwifery
841	2010	All of this does not mean that these locales have become	low-risk	.	Newfound Strength In Frontier Markets	Investment policy; Developing countries--LDCs; Investment products; Mutual funds
842	2010	The state also must follow the call of the governor 's task force and work to send as many	low-risk	children as possible to community-based programs .	Injustice for Children	Juvenile justice; Juvenile offenders; Mental health care; Editorials -- Juvenile justice
843	2010	Neonatal death in healthy ,	low-risk	pregnancies is rare no matter where the birth takes place .	Home Birth May Add Some Risks	Studies; Births; Pregnancy; Midwifery
844	2010	They analyzed the results of studies that specifically compared only planned home births with planned hospital births among healthy ,	low-risk	mothers in industrialized countries .	Home Birth May Add Some Risks	Studies; Births; Pregnancy; Midwifery
845	2010	Earlier this year , Gay Men 's Health Crisis issued a comprehensive report on the ban , saying that the policy should be changed to permit	low-risk	gay men -- such as those in a monogamous relationship -- to donate blood without a deferral period , while deferring higher-risk gay men for a period of time .	Gay Men Condemn Blood Ban As Biased	Blood banks; Gays  lesbians; Nonprofit organizations; Discrimination; Blood  organ donations
846	2010	These patients were less likely to experience fast-growing tumors , and more than half were classified as having	low-risk	disease .	Patterns: Rethinking Prostate Cancer Treatment	Cancer therapies; Men; Studies; Prostate cancer
847	2010	Every urologist I met with after my diagnosis recommended surgery , even though it was believed then that I had a	low-risk	Stage 1 cancer .	BOOKS A Rush to Operating Rooms That Alters Men's Lives	Nonfiction; Prostate cancer; Books -- Invasion of the Prostate
848	2010	For example , he said , if a surgical group performs bypass surgery mostly on	low-risk	patients , its statistics may look great .	A Magazine Is Rating Surgical Groups	Ratings  rankings; Surgeons; Heart surgery
849	2010	Yet funds are buying bonds because they -LRB- or their advisers -RRB- deem them	low-risk	, not because they believe them to be inexpensive .	Strategy for H.P., Courtesy of Apple	Investment policy; Computer industry; Market strategy
850	2010	Instead of aiming for perfection , she focused on keeping the ball in play , with	low-risk	shots that lulled the less-experienced Kanepi into mistakes .	Zvonareva and Wozniacki Adjust And Advance to the Semifinals	Tournaments  championships; Tennis
851	2010	The central issue before the regulators in Basel is how much	low-risk	capital banks should be required to keep in reserve , and what qualifies as low-risk capital .	Global Rules For Banks Draw Near	Banking industry; Central banks; Bailouts; Government aid; Sovereign debt; International banking; Regulation of financial institutions
852	2010	The central issue before the regulators in Basel is how much low-risk capital banks should be required to keep in reserve , and what qualifies as	low-risk	capital .	Global Rules For Banks Draw Near	Banking industry; Central banks; Bailouts; Government aid; Sovereign debt; International banking; Regulation of financial institutions
853	2010	United States government bonds are	low-risk	assets , for example , while car loans would be higher risk .	Global Rules For Banks Draw Near	Banking industry; Central banks; Bailouts; Government aid; Sovereign debt; International banking; Regulation of financial institutions
854	2010	A popular gauge of credit market fear is the TED spread , which measures the gap between the interest rates that banks charge one another for short-term loans and yields on	low-risk	, short-term Treasuries .	Storm Clouds, but Maybe No Rain	Economic conditions; Recessions; Investment policy; Bond issues; Bond markets; Economic indicators
855	2010	Women are disproportionately represented among the	low-risk	patients who are shifted into a higher-risk category .	Web Tool To Check Heart Risk Is Doubted	Heart attacks; Web sites; Health risk assessment
856	2010	It said medical interventions , even in	low-risk	pregnancy and labor , had increased substantially in the past two decades .	Use of Midwives Rises, Challenging the State to Respond	Midwifery; Womens health; Bills; Births; Lobbyists
857	2010	Credit Suisse and UBS said in statements that they would be able to meet the requirements , which by the end of 2018 would require them to maintain	low-risk	reserves equal to 10 percent of their total assets .	2 Swiss Banks Facing Higher Capital Standards	Banking industry; Capital requirements; Bank reserves; Reserve requirements
858	2010		Low-risk	youths -- those found guilty of crimes like shoplifting , trespassing and petty theft -- should be sent to community-based programs that do a much better job of rehabilitation and are far less expensive to manage .	Two Words: Wasteful and Ineffective	Juvenile justice; Shutdowns; Juvenile offenders; State budgets; Detention centers; Editorials -- Detention centers
859	2010	To Mr. Davis , the practice sounded like a	low-risk	proposition .	Banks Shared Clients' Profits, But Not Losses	Pension funds; Banks; Regulation of financial institutions; Securities lendingCompany / organization:
860	2010	The raid added to a body of evidence confirming La Familia 's expansion into counterfeit software as a	low-risk	, high-profit complement to drugs , bribery and kidnapping .	Chasing Pirates: Inside Microsoft's War Room	Software industry; Raids; Industrial espionage; Investigations; Loss control; Piracy; Counterfeiting
861	2010	New York City has cut the number of children it sends to the state by more than half over the last decade -- and lowered its recidivism rates -- by enrolling	low-risk	offenders in community-based programs .	Shut Those Doors	Juvenile justice; Juvenile offenders; Child custody; Detention centers; Government waste; Editorials -- Detention centers
862	2010	He also called for moving the state away from the destructive strategy of incarcerating	low-risk	young offenders and toward the community-based model .	Shut Those Doors	Juvenile justice; Juvenile offenders; Child custody; Detention centers; Government waste; Editorials -- Detention centers
863	2010		Low-risk	plants in this country must be inspected within seven years after the bill becomes law .	Shifting Focus of F.D.A., House Passes Overhaul of Food Laws	Food safety; Federal legislation; Food processing industry
864	2011	Signs that the economy is improving weakened demand for	low-risk	investments .	A Hiring Report Sends the Markets Higher	None
865	2011	`` It 's the	low-risk	option , '' said Charles Diebel , head of market strategy at Lloyds Banking in London , `` and given the market backdrop it 's the sensible decision . ''	Building on Momentum, Spain Changes Course on Bonds	Bond issues; International finance; Government bonds; Participating loans; Sovereign debt
866	2011	Colon is a	low-risk	addition for the Yankees , whose rotation depth remains a concern less than three weeks before pitchers and catchers report to spring training .	ROUNDUP; Yankees Sign Colon, Hoping He Can Be the Pitcher He Once Was	Athletes; Professional baseball -- New York Yankees
867	2011	``	Low-risk	travelers '' can apply for the program , which lets them match their passport and fingerprints at an entry kiosk .	A Passport Is the Easy Part	Cellular telephones; Business travel; Credit cards; Americans abroad
868	2011	A case that seems relatively	low-risk	will usually involve four officers .	States Struggle to Disarm People Who've Lost Right to Own Guns	Law enforcement; Weapons; Habitual offenders; Firearm laws  regulations; Domestic violence; Ex-convicts; Background checks
869	2011	Though some of these facilities have high-occupancy rates , the evidence suggests that	low-risk	offenders who were assigned to them could be safely and less-expensively housed in lower-security institutions .	Expensive Prisons	Prisons; State budgets; Cost reduction; Shutdowns; Editorials -- Prisons
870	2011	Trusts like Bank of New York Mellon and State Street won an exemption that will probably lower their premiums , since	low-risk	securities they manage for large customers will not be included in the assessments .	Big Banks To Pay More To Insure Deposits	Regulation of financial institutions; Banking industry; Fees  charges; Deposit insurance
871	2011	The program was sold as both being low-cost and	low-risk	with an `` infinite '' saving once polio immunization was no longer necessary .	Polio In the Balance	None
872	2011	When mandatory evacuations were later ordered for areas most at risk , those residents could not get out of harm 's way because the interstates were already packed with people from	low-risk	areas .	Dangers of Leaving No Resident Behind	Nuclear power plants; Traffic flow; Emergency preparedness; Nuclear accidents  safety; Evacuations  rescues
873	2011	The breach points out the significant risks for companies that outsource even seemingly	low-risk	activities like e-mail marketing , said Avivah Litan , an analyst focused on online fraud at the research firm Gartner .	Firms Warn of E-Mail Fraud After a Breach	Network security; Computer security; Electronic mail systems; Internet crime; Marketing; Customer information filesCompany / organization:
874	2011	The former Giants star Lawrence Taylor , who was sentenced last month to six months ' probation for sexual misconduct and patronizing a 16-year-old prostitute , was declared a	low-risk	sex offender , meaning there will be no photograph of him on public online sex-offender registries .	Scheduled for Preseason	None
875	2011	`` With that comes a risk of some giant companies having a problem , '' he said , explaining that it is a `` the tail event '' - as in a	low-risk	probability - '' and you do n't run your life around a tail event . ''	Dodd-Frank Dissenters Sound Off	Regulation of financial institutions; Bank failures; Conferences; Wall Street Reform  Consumer Protection Act 2010-US
876	2011	So a high Sharpe ratio should indicate profitable	low-risk	client business , while a relatively low one would more likely derive from prop trading .	Treating Traders Like Hedge Funds	Investment policy; Banks; Investment advisors; Hedge funds; Regulation of financial institutions
877	2011	Colleges and universities , Mr. Thiel argues , are lulling the younger generation into a false sense of security and chaining them to hefty student loans , which pushes them into	low-risk	jobs .	Contrarian Investor Shuns Hot Idea for Bigger Picture	Scholarships  fellowships; Higher education; Social networks; Contrarian investing; Innovations
878	2011	In fact , Justice Kennedy 's opinion is attentive to safety : California can give early release only to prisoners posing the least risk ; it can divert	low-risk	offenders to community programs ; and so on .	California's Prison Crisis: The Supreme Court finds overcrowding cruel and dangerous	Prison overcrowding; Prisoners; Mental health care; Editorials; Constitutional law; Supreme Court decisions
879	2011	Unlike residential mortgages , new-car lending is a relatively	low-risk	, high-margin business .	Toronto-Dominion Chief Continues a Run at the Border	Banking industry; Competition; Financial services
880	2011	For Wall Street , this was the holy grail : a	low-risk	and high-profit proposition .	Insiders Sound an Alarm Amid a Natural Gas Rush	Energy industry; Natural gas exploration; Executives; Petroleum industry; Natural gas utilities; Oil shale; Speculation; Securities analysis
881	2011	It would be a blend , combining the rate governments now use for the years up to the cross-over point , and a more punitive	low-risk	rate for the years after that .	A Proposal for Drawing a Clearer Picture of Public Pension Finances	Pension funds; Recessions; Rates of return; Retirement
882	2011	The	low-risk	rate would be based on an index of tax-exempt municipal bonds , Mr. Attmore said .	A Proposal for Drawing a Clearer Picture of Public Pension Finances	Pension funds; Recessions; Rates of return; Retirement
883	2011	Researchers at Nottingham University Hospitals in England pooled data from eight randomized studies involving 1,338	low-risk	women in the first stage of labor .	Childbirth: A Drug Shortens Labor but Does Little Else	Childbirth  labor; Studies; Cesarean section; Hormones; Drug therapy
884	2011	Their appearance in the normally drama-free Patriots locker room is	low-risk	with potentially high reward .	Off-Season Reduced to Days, N.F.L. Runs Through Millions	Athletes; Professional football; Lockouts; Athletic drafts  trades
885	2011	In other words , regulators said , a relatively	low-risk	mortgage should look an awful lot like the ones that local banks made before the days of securitization on steroids .	Some Bankers Never Learn	Mortgage banks; Predatory lending; Regulation of financial institutions; Homeowners; Home ownership; Wall Street Reform  Consumer Protection Act 2010-US
886	2011	Regulators also said that the origination costs on	low-risk	mortgages should no more than 3 percent of the amount borrowed .	Some Bankers Never Learn	Mortgage banks; Predatory lending; Regulation of financial institutions; Homeowners; Home ownership; Wall Street Reform  Consumer Protection Act 2010-US
887	2011	`` Governmental engagement on atrocities and genocide too often arrives too late , when opportunities for prevention or low-cost ,	low-risk	action have been missed , '' a White House statement on the directive said .	Obama Takes Steps to Help Avert Atrocities	Human rights; Genocide; Atrocities; Immigration policy; Passports  visas
888	2011	Investors roared into Treasury bonds , cash and other	low-risk	assets on Thursday , acting on their fears about the weak global economic outlook on a day when stock markets in the United States declined more than 4 percent .	Retreating on Every Front: Unnerved Investors Chase Low-Risk Assets	Stock exchanges; Investment policy; Treasury notes; Treasuries; Institutional investments; Bank accounts; Portfolio management; Bear markets; Risk aversion
889	2011	Dr. Hutton 's own studies have compared the outcomes of planned hospital births to	low-risk	women and planned home births to low-risk women who were attended by the same midwives .	Demand Growing for Giving Birth at Home	Childbirth  labor; Midwifery; Womens health; Trends
890	2011	Dr. Hutton 's own studies have compared the outcomes of planned hospital births to low-risk women and planned home births to	low-risk	women who were attended by the same midwives .	Demand Growing for Giving Birth at Home	Childbirth  labor; Midwifery; Womens health; Trends
891	2011	There is nothing like the sight of an underdressed Owens exercising independently to remind N.F.L. general managers of what makes him such a	low-risk	acquisition .	Heads I Win, Tails You Lose	Professional football; Coaches  managers; Sports fansCompany / organization:
892	2011	The State Department is moving ahead only with	low-risk	projects , like a Web site for its Office of the Historian , which offers public information about the history of American diplomacy , the agency 's chief information officer , Susan Swart , said .	Federal Push for 'Cloud' Technology Faces Skepticism	Defense contracts; Internet; Information technology; Chief information officers; Electronic commerce; Cloud computing; National security
893	2011	Reese and his staff review their database -- complete with workout information and video clips -- of all available players daily , forever looking for the	low-risk	opportunity that pays off .	Giants Pluck Cornerback From His Living Room	Professional football; Sports injuriesCompany / organization:
894	2011	That is saying something considering the Patriots ' other	low-risk	, potential-reward acquisition this year , receiver Chad Ochocinco , who gently placed a pair of shimmering gold cleats in his locker before he met with reporters only moments after Haynesworth walked by .	The Power Of Bill	Professional football; Athletes; Coaches  managers
895	2011	The latest lapse is all the more worrying given the	low-risk	nature of Delta One .	Explaining How Billions Were Lost	Investment bankers; Investments; Banking
896	2011	The study points to programs like the one adopted by Ohio in the early 1990s , `` Reclaim Ohio , '' which shifted responsibility for juvenile incarceration to the counties , and encouraged local governments to treat	low-risk	young offenders close to home .	Fewer Teenagers in Lockups	Juvenile offenders; Cost reduction; Editorials; Studies; Monitoring systems
897	2011	Most designers find the site 's easy-to-use ,	low-risk	platform appealing , especially since it does n't require up-front capital .	On the Web, Dreams Made Real	Designers; Executives; Architecture; Product development; Business incubators; Venture capital; Inventors; Small businessCompany / organization:
898	2011	In the decision , Judge Jones noted that experts had found the parking garage was `` a	low-risk	'' target , and that after weighing the costs and benefits of various options , the agency had decided that the risk of attacks on the concourse and plaza required focusing more resources there .	Port Authority Not Liable In '93 Bombing	State court decisions; Trials; Terrorism; Liability; Settlements  damages
899	2011	Its chief executive resigned over the weekend after the bank lost track of a $ 2 billion bet on a supposedly	low-risk	trading desk .	The Once Great Are Left Adrift	Central banks; Monetary policy; Currency; Professional soccer; Industrial policy
900	2011	And it said it would spend 40 billion euros on a	low-risk	form of bank debt known as covered bonds .	In France and Germany, Divergence On How to Recapitalize Their Banks	Recessions; Banking industry; Credit ratings; Eurozone; Capital requirements; Sovereign debt; Economic policy
901	2011	Along with major international galleries , including Gagosian , offering such	low-risk	, high-value fare , FIAC also attracts a younger group , which this year was able for the first time to set up shop in the Grand Palais 's upper levels rather than at a separate location .	Euro Flails But Art Fair Flourishes	Arts festivals; Visual artists; Art markets; Euro
902	2011	His next option is to invest those deposits in	low-risk	securities , like mortgage bonds backed by Fannie Mae and Freddie Mac , which in recent years paid as much as 3.75 percent .	In Cautious Times, Banks Flooded With Cash	Interest rates; Savings banks; Banking industry; Regulation of financial institutions
903	2011	Rhone Resch , president and chief executive of the Solar Energy Industries Association , said that while the loan guarantee program helped finance emerging technologies that were `` higher-risk projects by definition , '' the grant program aided `` extremely	low-risk	projects where you 're using off-the-shelf technology . ''	Future of Solar and Wind Power May Hinge on Federal Aid	Alternative energy sources; Wind power; Tax credits; Energy policy; Incentives; Fuel cells; Federal funding; Solar energy
904	2011	The Cleveland Indians acquired pitcher Derek Lowe from the Atlanta Braves for the minor league pitcher Chris Jones , a	low-risk	move to bolster their rotation .	Nationals Pick Up Option For Johnson to Remain	None
905	2011	These are people who have received trusted traveler identification cards in programs like Global Entry , which provides `` expedited clearance for preapproved ,	low-risk	travelers upon arrival in the United States '' by air , according to the agency .	For the Chosen Fliers, Security Check Is a Breeze	Airline security; Passenger screening; Airports; Air travel; Frequent flier programs
906	2011	Little more than three months after it happened , the Patriots -- apparently reaching the limits of their desire to improve their pass rush -- admitted that their	low-risk	, high-reward transaction gave them little reward after all .	The Patriots Waive Haynesworth, Once a Defensive Star	Professional football; Athletes
907	2011	`` It 's a	low-risk	offense .	Keeping It Simple, the Broncos Win Again	None
908	2011	Though randomized controlled clinical trials of bright light are difficult to do properly -- one expert is fond of saying that it is difficult to `` blind '' studies of bright light -- the American Psychiatric Association considers bright-light therapy an effective	low-risk	treatment for both S.A.D. and nonseasonal major depressive disorder .	A Portable Glow to Help Melt Those Winter Blues	Light; Mental depression; Clinical trials; Studies; Light therapy
909	2011	In so doing , he has made use of a	low-risk	way to get a foothold in the restaurant business -- much as food trucks have allowed others to operate a kitchen without having an address .	At Night, a Cafe Reveals It Has a Split Personality	Restaurants; Entrepreneurs
